State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Chandigarh,Total,Person,0.92,0.25,11.77,0.4,1.01,6.64,27.62,4.53,4.07,5.23,2.49,0.93,3.8,2.47,10.15,4.83,4.06,0.0,6.85
Chandigarh,Urban,Female,0.0,0.0,7.44,0.0,0.0,0.0,20.84,0.0,0.0,8.43,0.0,0.0,7.88,4.34,14.78,9.01,9.95,0.0,12.51
Chandigarh,Urban,Male,0.67,0.33,12.57,0.54,1.29,8.23,30.36,5.95,4.8,4.66,3.33,1.25,2.96,2.14,9.49,4.05,2.5,0.0,3.73
Chandigarh,Urban,Person,0.53,0.26,11.48,0.42,1.02,6.47,28.32,4.68,3.77,5.47,2.62,0.98,4.01,2.61,10.62,5.11,4.09,0.0,5.61
Uttarakhand,Rural,Female,76.92,1.53,3.17,0.0,0.0,0.8,1.39,0.04,0.36,0.0,0.15,0.0,0.0,0.16,0.88,12.35,0.79,0.29,1.18
Uttarakhand,Rural,Male,36.25,0.97,10.44,0.14,0.13,16.73,10.48,6.82,3.09,0.45,0.27,0.82,1.98,0.87,1.85,4.45,2.88,0.0,0.04
Uttarakhand,Rural,Person,45.21,1.1,8.84,0.11,0.1,13.22,8.48,5.32,2.49,0.35,0.25,0.64,1.54,0.71,1.64,6.19,2.42,0.06,0.29
Uttarakhand,Total,Female,64.21,1.26,6.86,0.0,0.0,0.66,4.21,0.03,1.05,0.0,0.28,0.0,0.88,0.14,1.58,15.08,1.69,0.26,1.35
Uttarakhand,Total,Male,27.01,0.84,14.26,0.4,0.4,15.36,12.92,7.19,3.7,0.97,0.52,0.74,2.0,1.23,2.27,5.26,2.78,0.23,0.1
Uttarakhand,Total,Person,34.32,0.92,12.81,0.32,0.32,12.47,11.21,5.79,3.18,0.78,0.47,0.6,1.78,1.02,2.14,7.19,2.56,0.24,0.34
Uttarakhand,Urban,Female,4.82,0.0,24.12,0.0,0.0,0.0,17.39,0.0,4.27,0.0,0.86,0.0,5.0,0.08,4.83,27.86,5.87,0.13,2.14
Uttarakhand,Urban,Male,3.96,0.51,23.78,1.06,1.08,11.93,19.01,8.14,5.2,2.25,1.13,0.54,2.06,2.15,3.33,7.29,2.52,0.82,0.24
Uttarakhand,Urban,Person,4.07,0.45,23.83,0.92,0.94,10.37,18.8,7.08,5.08,1.96,1.09,0.47,2.45,1.87,3.53,9.98,2.96,0.73,0.49
Uttarakhand,Rural,Female,84.07,0.0,3.96,0.0,0.24,1.79,0.79,0.11,0.16,0.09,0.48,0.0,0.0,0.0,1.91,5.24,0.17,0.0,0.47
Uttarakhand,Rural,Male,49.39,0.0,10.84,0.18,0.36,14.07,8.13,4.1,3.29,0.58,0.81,0.01,0.33,0.7,1.99,2.29,0.11,0.16,0.0
Uttarakhand,Rural,Person,61.15,0.0,8.5,0.12,0.32,9.91,5.64,2.75,2.23,0.42,0.69,0.01,0.21,0.46,1.96,3.29,0.13,0.1,0.16
Uttarakhand,Total,Female,72.8,0.06,5.31,0.2,0.21,1.93,3.29,0.1,0.37,0.14,0.84,0.0,0.11,0.14,2.85,7.94,0.83,0.0,0.67
Uttarakhand,Total,Male,36.12,0.09,13.23,0.37,0.36,13.97,13.39,4.83,3.68,0.54,1.35,0.1,0.78,1.17,2.96,2.99,0.34,0.2,0.16
Uttarakhand,Total,Person,47.15,0.08,10.85,0.32,0.31,10.35,10.35,3.4,2.69,0.42,1.2,0.07,0.58,0.86,2.93,4.47,0.49,0.14,0.31
Uttarakhand,Urban,Female,0.26,0.43,14.01,1.47,0.0,2.78,19.35,0.02,1.73,0.43,3.15,0.0,0.83,1.05,8.93,25.3,5.06,0.0,1.99
Uttarakhand,Urban,Male,0.97,0.32,19.57,0.86,0.33,13.71,27.32,6.74,4.72,0.41,2.79,0.34,1.99,2.42,5.55,4.84,0.95,0.33,0.58
Uttarakhand,Urban,Person,0.85,0.34,18.6,0.97,0.27,11.81,25.93,5.57,4.2,0.41,2.85,0.28,1.79,2.19,6.14,8.4,1.67,0.27,0.82
Haryana,Rural,Female,60.7,0.0,8.6,0.04,0.56,5.68,5.04,0.03,0.0,0.79,0.1,0.0,0.0,1.09,0.37,11.47,3.68,0.0,0.73
Haryana,Rural,Male,34.92,0.12,12.16,1.07,0.17,18.49,10.73,8.07,0.89,0.31,1.91,0.59,0.94,0.93,2.99,3.0,0.83,0.02,0.13
Haryana,Rural,Person,38.81,0.1,11.62,0.91,0.23,16.56,9.87,6.86,0.76,0.38,1.64,0.5,0.8,0.96,2.6,4.28,1.26,0.01,0.22
Haryana,Total,Female,38.79,0.0,13.32,0.03,0.34,3.98,5.91,0.02,0.2,1.73,2.28,0.82,0.23,0.72,2.72,17.14,5.05,0.0,3.54
Haryana,Total,Male,24.57,0.08,18.42,1.05,0.4,15.85,14.14,7.57,1.37,0.76,1.9,0.79,1.47,1.43,3.48,2.99,1.32,0.22,0.19
Haryana,Total,Person,26.85,0.07,17.6,0.89,0.39,13.94,12.82,6.35,1.19,0.92,1.96,0.79,1.27,1.32,3.36,5.27,1.92,0.19,0.72
Haryana,Urban,Female,4.96,0.0,20.61,0.0,0.0,1.37,7.24,0.0,0.52,3.19,5.63,2.09,0.6,0.15,6.34,25.89,7.16,0.0,7.88
Haryana,Urban,Male,4.91,0.0,30.3,1.02,0.83,10.83,20.63,6.61,2.29,1.62,1.88,1.18,2.48,2.38,4.41,2.97,2.26,0.62,0.29
Haryana,Urban,Person,4.92,0.0,28.56,0.83,0.68,9.14,18.23,5.43,1.97,1.9,2.55,1.34,2.14,1.98,4.76,7.08,3.13,0.51,1.65
Haryana,Rural,Female,66.42,0.0,4.42,0.0,0.0,2.71,4.69,0.3,0.28,1.59,0.0,0.0,0.26,0.03,0.19,14.44,4.19,0.0,0.48
Haryana,Rural,Male,40.51,0.05,11.15,0.64,0.63,20.15,9.16,5.59,0.55,0.46,0.42,0.0,0.85,1.24,3.75,2.33,1.36,0.06,0.0
Haryana,Rural,Person,44.4,0.04,10.14,0.54,0.53,17.53,8.49,4.79,0.51,0.63,0.36,0.0,0.76,1.06,3.22,4.15,1.78,0.05,0.07
Haryana,Total,Female,40.17,0.0,13.09,0.0,0.13,3.95,7.28,0.62,0.91,2.51,0.2,0.17,0.81,0.39,1.89,18.53,3.87,0.0,3.02
Haryana,Total,Male,27.05,0.05,17.48,0.54,0.56,17.82,13.89,6.13,1.84,1.47,1.05,0.1,1.22,1.19,3.12,2.88,1.32,0.13,0.65
Haryana,Total,Person,29.21,0.04,16.76,0.45,0.49,15.54,12.8,5.23,1.69,1.64,0.91,0.11,1.16,1.06,2.92,5.45,1.74,0.11,1.04
Haryana,Urban,Female,5.98,0.0,24.38,0.0,0.3,5.58,10.64,1.04,1.74,3.71,0.47,0.39,1.53,0.85,4.1,23.84,3.46,0.0,6.33
Haryana,Urban,Male,4.17,0.05,28.25,0.36,0.46,13.86,21.94,7.06,4.03,3.19,2.12,0.26,1.86,1.11,2.05,3.81,1.24,0.26,1.75
Haryana,Urban,Person,4.51,0.04,27.52,0.3,0.43,12.3,19.82,5.93,3.6,3.29,1.81,0.29,1.8,1.06,2.44,7.57,1.66,0.21,2.61
Delhi,Rural,Female,1.18,0.0,1.18,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,87.64,0.0,0.0,5.57
Delhi,Rural,Male,3.22,0.0,38.82,0.0,0.81,2.33,14.0,23.38,0.96,0.0,0.04,0.0,0.75,2.83,1.61,0.23,2.05,6.3,1.84
Delhi,Rural,Person,2.91,0.0,33.02,0.0,0.68,1.97,12.45,19.77,0.81,0.0,0.03,0.0,0.64,2.4,1.44,13.7,1.73,5.33,2.41
Delhi,Total,Female,0.04,0.0,17.6,0.0,0.0,0.02,11.3,0.14,1.53,2.0,5.03,0.0,2.47,5.71,5.41,16.41,7.03,1.06,16.45
Delhi,Total,Male,0.41,0.25,24.05,0.54,0.46,7.15,21.38,7.79,4.56,3.17,3.23,0.73,3.28,3.93,4.55,1.92,3.82,1.0,3.46
Delhi,Total,Person,0.35,0.21,22.99,0.45,0.38,5.98,19.72,6.53,4.06,2.98,3.53,0.61,3.15,4.22,4.69,4.3,4.35,1.01,5.6
Delhi,Urban,Female,0.0,0.0,18.21,0.0,0.0,0.02,11.57,0.15,1.59,2.07,5.22,0.0,2.56,5.93,5.59,13.74,7.29,1.1,16.85
Delhi,Urban,Male,0.29,0.26,23.45,0.56,0.44,7.34,21.68,7.15,4.71,3.3,3.36,0.76,3.39,3.98,4.67,1.99,3.89,0.79,3.53
Delhi,Urban,Person,0.25,0.22,22.59,0.47,0.37,6.14,20.02,6.0,4.19,3.1,3.67,0.63,3.25,4.3,4.82,3.92,4.45,0.84,5.73
Delhi,Rural,Female,22.26,0.0,1.33,0.0,0.0,0.0,41.13,0.0,0.0,0.0,0.0,0.0,0.0,34.71,0.0,0.56,0.0,0.0,0.0
Delhi,Rural,Male,6.08,0.0,9.1,0.0,0.0,9.46,30.14,20.62,3.34,0.0,7.4,0.0,0.44,0.4,0.39,0.16,6.17,0.89,0.0
Delhi,Rural,Person,9.61,0.0,7.41,0.0,0.0,7.4,32.53,16.13,2.61,0.0,5.79,0.0,0.35,7.88,0.3,0.24,4.83,0.69,0.0
Delhi,Total,Female,1.05,0.0,12.99,0.0,0.0,2.87,14.34,1.13,0.55,3.85,4.23,0.0,2.84,3.97,3.55,22.98,3.23,0.56,18.75
Delhi,Total,Male,0.26,0.0,21.85,0.17,0.11,7.69,27.91,11.68,4.47,4.04,3.08,0.33,2.82,3.68,3.75,1.79,1.95,0.62,1.02
Delhi,Total,Person,0.38,0.0,20.49,0.15,0.09,6.95,25.82,10.06,3.86,4.01,3.25,0.28,2.82,3.72,3.71,5.05,2.15,0.61,3.74
Delhi,Urban,Female,0.0,0.0,13.56,0.0,0.0,3.01,13.01,1.19,0.58,4.04,4.44,0.0,2.98,2.44,3.72,24.1,3.39,0.58,19.69
Delhi,Urban,Male,0.07,0.0,22.25,0.18,0.12,7.64,27.84,11.39,4.5,4.16,2.94,0.34,2.9,3.78,3.85,1.85,1.82,0.61,1.05
Delhi,Urban,Person,0.06,0.0,20.94,0.15,0.1,6.94,25.59,9.85,3.91,4.15,3.16,0.29,2.91,3.58,3.83,5.21,2.06,0.61,3.87
Rajasthan,Rural,Female,82.4,0.13,3.65,0.28,0.12,6.85,1.76,0.17,0.2,0.0,0.0,0.0,0.15,0.03,0.33,2.87,0.84,0.05,0.0
